team,hex
Diamondbacks,#A71930
Braves,#13274F
Orioles,#DF4601
Red Sox,#BD3039
Cubs,#CC3433
White Sox,#000000
Reds,#C6011F
Indians,#E31937
Rockies,#333366
Tigers,#0C2C56
Astros,#EB6E1F
Royals,#004687
Angels,#BA0021
Dodgers,#005A9C
Marlins,#0077C8
Brewers,#B6922E
Twins,#002B5C
Mets,#FF5910
Yankees,#003087
Athletics,#003831
Phillies,#E81828
Pirates,#FDB827
Padres,#7F411C
Giants,#8B6F4E
Mariners,#005C5C
Cardinals,#C41E3A
Rays,#8FBCE6
Rangers,#003278
Blue Jays,#134A8E
Nationals,#AB0003
